Nama Makanan,Harga,Deskripsi,Waktu Scraping
yaudah kerang mix,47.000,"kerang ijo, kerang dara,kerang tahu",2025-05-24 16:49:16
yaudah 3 orang,99.000,"udang ,kerang dara ,kerang ijo ,kerang tahu ,kerang Kampak/kerang simping ,jagung",2025-05-24 16:49:16
yaudah 6 orang,199.000,"udang ,kerang dara ,kerang ijo ,kerang tahu ,kerang Kampak/kerang simping ,jagung",2025-05-24 16:49:16
yaudah 10 orang,299.000,"udang ,kerang dara ,kerang ijo ,kerang tahu ,kerang Kampak/kerang simping ,jagung",2025-05-24 16:49:16
yaudah 3 orang (kepiting),139.000,"kepiting ,udang ,kerang dara ,kerang ijo ,kerang tahu ,kerang Kampak/kerang simping ,jagung",2025-05-24 16:49:16
yaudah 6 orang (kepiting),279.000,"kepiting 2 ekor 600-700gr ,udang ,kerang dara ,kerang ijo ,kerang tahu ,kerang Kampak/kerang simping ,jagung",2025-05-24 16:49:16
yaudah 10 orang (kepiting),424.000,"kepiting 3-4 ekor 1kg ,udang ,kerang dara ,kerang ijo ,kerang tahu ,kerang Kampak/kerang simping ,jagung",2025-05-24 16:49:16
yaudah 3 orang (Lobster),160.650,"Lobster, udang ,kerang dara ,kerang ijo ,kerang tahu ,kerang Kampak/kerang simping ,jagung",2025-05-24 16:49:16
yaudah 6 orang (Lobster),321.300,"Lobster 2 ekor 400gr, udang ,kerang dara ,kerang ijo ,kerang tahu ,kerang Kampak/kerang simping ,jagung",2025-05-24 16:49:16
yaudah 10 orang (Lobster),481.950,"Lobster 3 ekor 600gr ,udang ,kerang dara ,kerang ijo ,kerang tahu ,kerang Kampak/kerang simping ,jagung",2025-05-24 16:49:16
yaudah 3 orang (kepiting+Lobster),220.150,"kepiting , Lobster ,udang ,kerang dara ,kerang ijo ,kerang tahu ,kerang Kampak/kerang simping ,jagung",2025-05-24 16:49:16
yaudah 6 orang (kepiting+Lobster),432.650,"kepiting 2 ekor 600-700gr , Lobster 2 ekor 400gr, udang ,kerang dara ,kerang ijo ,kerang tahu ,kerang Kampak/kerang simping ,jagung",2025-05-24 16:49:16
yaudah 10 orang (kepiting+Lobster),660.450,"kepiting 3-4 ekor 1kg , Lobster 3 ekor 600gr ,udang ,kerang dara ,kerang ijo ,kerang tahu ,kerang Kampak/kerang simping ,jagung",2025-05-24 16:49:16
kepiting 400gr,89.000,saus tiram/saus padang,2025-05-24 16:49:16
kepiting 2-4 ekor 1kg,279.000,saus tiram/saus padang,2025-05-24 16:49:16
Lobster (saus),99.000,1 ekor 200gr,2025-05-24 16:49:16
Lobster 3 ekor 600gr (saus),299.000,saus tiram/saus padang,2025-05-24 16:49:16
Lobster (bakar),99.000,1 ekor 200gr,2025-05-24 16:49:16
Lobster 3 ekor 600gr (bakar),299.000,di bakar dengan bumbu khas yaudah seafood yang mantap,2025-05-24 16:49:16
cumi saus,39.000,saus tiram/saus padang,2025-05-24 16:49:16
cumi tepung,39.000,1 ekor cumi,2025-05-24 16:49:16
udang saus,39.000,saus tiram/saus padang Gambar hanya untuk referensi,2025-05-24 16:49:16
udang tepung,39.000,6pc udang tepung Gambar hanya untuk referensi,2025-05-24 16:49:16
yaudah 3 orang (kepiting),139.000,"kepiting ,udang ,kerang dara ,kerang ijo ,kerang tahu ,kerang Kampak/kerang simping ,jagung",2025-05-24 16:49:16
yaudah 3 orang,99.000,"udang ,kerang dara ,kerang ijo ,kerang tahu ,kerang Kampak/kerang simping ,jagung",2025-05-24 16:49:16
yaudah kerang mix,47.000,"kerang ijo, kerang dara,kerang tahu",2025-05-24 16:49:16
kepiting 400gr,89.000,saus tiram/saus padang,2025-05-24 16:49:16
yaudah 10 orang (kepiting),424.000,"kepiting 3-4 ekor 1kg ,udang ,kerang dara ,kerang ijo ,kerang tahu ,kerang Kampak/kerang simping ,jagung",2025-05-24 16:49:16
cumi tepung,39.000,1 ekor cumi,2025-05-24 16:49:16
udang saus,39.000,saus tiram/saus padang Gambar hanya untuk referensi,2025-05-24 16:49:16
udang tepung,39.000,6pc udang tepung Gambar hanya untuk referensi,2025-05-24 16:49:16
yaudah kerang mix,47.000,"kerang ijo, kerang dara,kerang tahu",2025-05-24 16:49:16
yaudah 3 orang,99.000,"udang ,kerang dara ,kerang ijo ,kerang tahu ,kerang Kampak/kerang simping ,jagung",2025-05-24 16:49:16
yaudah 6 orang,199.000,"udang ,kerang dara ,kerang ijo ,kerang tahu ,kerang Kampak/kerang simping ,jagung",2025-05-24 16:49:16
yaudah 10 orang,299.000,"udang ,kerang dara ,kerang ijo ,kerang tahu ,kerang Kampak/kerang simping ,jagung",2025-05-24 16:49:16
yaudah 3 orang (kepiting),139.000,"kepiting ,udang ,kerang dara ,kerang ijo ,kerang tahu ,kerang Kampak/kerang simping ,jagung",2025-05-24 16:49:16
yaudah 6 orang (kepiting),279.000,"kepiting 2 ekor 600-700gr ,udang ,kerang dara ,kerang ijo ,kerang tahu ,kerang Kampak/kerang simping ,jagung",2025-05-24 16:49:16
yaudah 10 orang (kepiting),424.000,"kepiting 3-4 ekor 1kg ,udang ,kerang dara ,kerang ijo ,kerang tahu ,kerang Kampak/kerang simping ,jagung",2025-05-24 16:49:16
yaudah 3 orang (Lobster),160.650,"Lobster, udang ,kerang dara ,kerang ijo ,kerang tahu ,kerang Kampak/kerang simping ,jagung",2025-05-24 16:49:16
yaudah 6 orang (Lobster),321.300,"Lobster 2 ekor 400gr, udang ,kerang dara ,kerang ijo ,kerang tahu ,kerang Kampak/kerang simping ,jagung",2025-05-24 16:49:16
yaudah 10 orang (Lobster),481.950,"Lobster 3 ekor 600gr ,udang ,kerang dara ,kerang ijo ,kerang tahu ,kerang Kampak/kerang simping ,jagung",2025-05-24 16:49:16
yaudah 3 orang (kepiting+Lobster),220.150,"kepiting , Lobster ,udang ,kerang dara ,kerang ijo ,kerang tahu ,kerang Kampak/kerang simping ,jagung",2025-05-24 16:49:16
yaudah 6 orang (kepiting+Lobster),432.650,"kepiting 2 ekor 600-700gr , Lobster 2 ekor 400gr, udang ,kerang dara ,kerang ijo ,kerang tahu ,kerang Kampak/kerang simping ,jagung",2025-05-24 16:49:16
yaudah 10 orang (kepiting+Lobster),660.450,"kepiting 3-4 ekor 1kg , Lobster 3 ekor 600gr ,udang ,kerang dara ,kerang ijo ,kerang tahu ,kerang Kampak/kerang simping ,jagung",2025-05-24 16:49:16
cah kangkung,15.000,di tumis dengan bumbu khas yaudah seafood,2025-05-24 16:49:16
kepiting 400gr,89.000,saus tiram/saus padang,2025-05-24 16:49:16
kepiting 2-4 ekor 1kg,279.000,saus tiram/saus padang,2025-05-24 16:49:16
Lobster (saus),99.000,1 ekor 200gr,2025-05-24 16:49:16
Lobster 3 ekor 600gr (saus),299.000,saus tiram/saus padang,2025-05-24 16:49:16
Lobster (bakar),99.000,1 ekor 200gr,2025-05-24 16:49:16
Lobster 3 ekor 600gr (bakar),299.000,di bakar dengan bumbu khas yaudah seafood yang mantap,2025-05-24 16:49:16
cumi+udang,79.000,Cumi dan udang segar dalam saus Padang/tiram,2025-05-24 16:49:16
cumi saus,39.000,saus tiram/saus padang,2025-05-24 16:49:16
cumi tepung,39.000,1 ekor cumi,2025-05-24 16:49:16
udang saus,39.000,saus tiram/saus padang Gambar hanya untuk referensi,2025-05-24 16:49:16
udang tepung,39.000,6pc udang tepung Gambar hanya untuk referensi,2025-05-24 16:49:16
kerang ijo 1kg,59.000,saus tiram/saus padang,2025-05-24 16:49:16
kerang ijo,30.000,saus tiram/saus padang,2025-05-24 16:49:16
kerang dara,30.000,saus tiram/saus padang,2025-05-24 16:49:16
kerang tahu,30.000,saus tiram/saus Padang,2025-05-24 16:49:16
kerang bambu,32.000,8pc,2025-05-24 16:49:16
rajungan,89.000,jagung dan saus tiram/saus padang,2025-05-24 16:49:16
capit kepiting,39.000,4-6 capit,2025-05-24 16:49:16
gurita+cumi+udang,129.000,gurita 1 porsi cumi 1 porsi udang 1 porsi di campur...,2025-05-24 16:49:16
gurita,59.000,saus tiram/saus Padang,2025-05-24 16:49:16
kerang simping,32.000,saus tiram/saus Padang,2025-05-24 16:49:16
gurame bakar 500gr,59.000,di bakar dengan bumbu khas yaudah seafood yang mantap Gambar hanya untuk referensi,2025-05-24 16:49:16
gurame saus 500gr,59.000,saus tiram/saus padang Gambar hanya untuk referensi,2025-05-24 16:49:16
bawal bakar,54.000,di bakar dengan bumbu khas yaudah seafood yang mantap Gambar hanya untuk referensi,2025-05-24 16:49:16
bawal saus,49.000,saus tiram/saus padang Gambar hanya untuk referensi,2025-05-24 16:49:16
nasi,6.000,1 porsi Gambar hanya untuk referensi,2025-05-24 16:49:16
es teh manis,6.000,es atau hangat kasih note nya Gambar hanya untuk referensi,2025-05-24 16:49:16
udang bakar,44.000,4-6pc udang bakar,2025-05-24 16:49:16
sambal paru,52.000,150ml,2025-05-24 16:49:16
sambal teri,52.000,150 ml,2025-05-24 16:49:16
sambal cumi,52.000,150ml,2025-05-24 16:49:16
